No.,単語,品詞,意味１,意味２,意味３,意味４
46,愛し・悲し・哀し（かなし）,形容詞,いとしい・かわいい,悲しい・切ない,,
47,らうたし,形容詞,かわいらしい・いじらしい,,,
48,好き好きし（すきずきし）,形容詞,好色めいている・恋愛に関心が高い,風流だ・物好きだ,,
49,生めかし（なまめかし）,形容詞,若々しい・みずみずしく美しい,優美だ・上品だ,,
50,麗し（うるはし）,形容詞,端正だ・きちんとしている,美しい・立派だ・見事だ,親密だ・誠実だ,
51,大人し（おとなし）,形容詞,大人びている・ませている,思慮分別がある,年長だ・主だっている,
52,いはけなし,形容詞,幼い・子供っぽい,,,
53,いとほし,形容詞,気の毒だ・かわいそうだ,かわいい・いじらしい,,
54,めでたし,形容詞,すばらしい,よろこばしい,,
55,有り難し（ありがたし）,形容詞,めったにない・めずらしい,（めったにないほど）すばらしい,,
56,目安し（めやすし）,形容詞,（見た目の）感じがよい・親しみがある,,,
57,なつかし,形容詞,親しみ深い,心ひかれる・慕わしい,,
58,ゆかし,形容詞,見たい・聞きたい・知りたい,心ひかれる・慕わしい,,
59,よろし,形容詞,悪くはない,普通だ,,
60,やさし,形容詞,恥ずかしい・きまりが悪い,優美だ・上品だ,けなげだ・殊勝だ・感心だ,
61,心憎し（こころにくし）,形容詞,奥ゆかしい・上品だ,心ひかれる,,
62,恥づかし（はづかし）,形容詞,立派だ・すばらしい,きまりが悪い・恥ずかしい,,
63,怪し（あやし）,形容詞,不思議だ・妙だ,不都合だ,,
64,賤し（あやし）,形容詞,身分が低い,粗末だ・みすぼらしい,,
65,便無し（びんなし）,形容詞,不都合だ・具合が悪い,困った・けしからん,（現代語と同じ）気の毒だ,
66,憂し（うし）,形容詞,つらい・いやだ,,,
67,辛し（つらし）,形容詞,薄情だ・冷淡だ,苦痛だ・つらい・恨めしい,,
68,なめし,形容詞,無礼だ・失礼だ,,,
69,口惜し（くちをし）,形容詞,残念だ・がっかりだ・情けない,,,
70,むつかし,形容詞,うっとうしい・不快だ・面倒だ,気味が悪い・恐ろしい,,
71,おどろおどろし,形容詞,仰々しい・おおげさだ,不気味だ・恐ろしい,,
72,本意無し（ほいなし）,形容詞,残念だ・不本意だ,,,
73,わりなし,形容詞,通りに合わない・妙だ,どうしようもない・しかたがない,つらい・苦しい,〈程度〉ひどい・はなはだしい
74,侘びし（わびし）,形容詞,つらい・やりきれない・つまらない,（現代語と同じ）わびしい・みすぼらしい,,
75,さうざうし,形容詞,心さびしい・もの足りない,,,
76,すさまじ,形容詞,興ざめだ・おもしろくない,殺風景だ・寒々としている,,
77,おぼつかなし,形容詞,はっきりしない・ぼんやりしている,不安だ・気がかりだ,待ち遠しい・じれったい,
78,心もとなし（こころもとなし）,形容詞,はっきりしない・かすかだ,気がかりだ・落ち着かない,待ち遠しい・じれったい,
79,うしろめたし,形容詞,気がかりだ・不安だ,,,
