No.,単語,品詞,意味１,意味２,意味３,意味４
218,休らふ（やすらふ）,動詞,躊躇する・ためらう,立ち止まる,,
219,知る・領る・治る（しる）,動詞,（土地を）領有する・（天下・国を）治める,（現代語と同じ）理解する・知る,,
220,うるせし,形容詞,賢明だ・気がきく,上手だ・巧みだ,,
221,労労じ（らうらうじ）,形容詞,巧みだ・気が利いている,洗練されている・上品だ,,
222,心安し（こころやすし）,形容詞,安心だ・心穏やかだ,気安い・遠慮がいらない,,
223,隈無し（くまなし）,形容詞,暗いところがない・かげがない,行き届いている・精通している,,
224,長長し（をさをさし）,形容詞,大人びている・しっかりしている,,,
225,付き付きし（つきづきし）,形容詞,似つかわしい・ふさわしい,,,
226,まばゆし,形容詞,（まぶしく感じるほど）美しい・華やかだ,見ていられない・目を背けたくなるほどいやだ,恥ずかしい・きまりが悪い,
227,忝し（かたじけなし）,形容詞,おそれ多い・申し訳ない,恥ずかしい・面目ない,ありがたい・うれしい,
228,惜し（あたらし）,形容詞,惜しい・もったいない,,,
229,妬し（ねたし）,形容詞,しゃくにさわる・くやしい,（ねたましくなるほど）すばらしい,,
230,むくつけし,形容詞,気味が悪い・恐ろしい・無骨だ,,,
231,さがなし,形容詞,性格が悪い・意地が悪い,いたずらだ・やんちゃだ,,
232,いぶせし,形容詞,気が晴れない・うっとうしい,気がかりだ,,
233,こちたし,形容詞,わずらわしい・うるさい,仰々しい・大げさだ・（ものが）非常に多い,,
234,あいなし,形容詞,気に入らない・つまらない,〈多くは「あいなく（う）」の形で〉むやみに・わけもなく・ただもう,,
235,おほけなし,形容詞,身のほど知らずだ・おそれ多い,,,
236,言ふ甲斐無し（いふかひなし）,形容詞,どうしようもない・言っても仕方がない,取るに足りない・つまらない,,
237,術無し（ずちなし・すべなし）,形容詞,どうしようもない,,,
238,正無し（まさなし）,形容詞,よくない・不都合だ・見苦しい・みっともない,,,
239,寝汚し（いぎたなし）,形容詞,寝坊だ・熟睡している,,,
240,由無し（よしなし）,形容詞,理由がない・方法がない,関係がない,つまらない・無意味だ,
241,しどけなし,形容詞,くつろいでいる・気楽な感じだ,だらしない・乱れている,,
242,拙し（つたなし）,形容詞,劣っている・下手だ,不運だ,,
243,人悪し（ひとわろし）,形容詞,みっともない・体裁が悪い・外聞が悪い,,,
244,所狭し（ところせし）,形容詞,いっぱいだ・あふれている,気詰まりだ・不自由だ,大げさだ・重々しい,
